"no,""url"",""harga"",""kota/kab"",""penilaian"",""terjual"",""rating"",""warna"",""m"",""l"",""xl"",""xxl"",""xxxl"",""ongkir_min"",""ongkir_max"",""judul"",""deskripsi"""
"1,""https://shopee.co.id/BASIC-OBLONG-SWEATER-POLOS-WARNA-BARU-PASTEL-i.9960721.5574983271?position=5"",""36000"",""kab bandung"",""436"",""1300"",""4.8"",""5"",""0"",""1"",""0"",""0"",""0"",""0"",""18000"",""BASIC OBLONG SWEATER POLOS WARNA BARU PASTEL"",""@nuritari_id toko grosir outfit kece & murah, kami menyediakan outfit murah sejak tahun 2017. so pastinya sudah pengalaman memilih outfit yang terbaik⁣⁣⁣⁣ BAHAN : FLEECE UKURAN : ALLSIZE SEBAIKNYA PILIH VARIANS SESUAI YANG DIPESAN TIDAK MENULIS BERBEDA DI KOLOM NOTE PESANAN UNTUK MENGHINDARI KESALAHAN PADA TIM PACKING KAMI . HARAP DI BACA / DIPAHAMI MEMBELI = SETUJU AKAN KETENTUAN TOKO KAMI TERIMAKASIH 🙏🏼❤️"""
"2,""https://shopee.co.id/SWEATER-OVERSIZE-CEWE-SWEATER-MAUDY-PASTEL-SWEATER-TALI-KERUT-SWEATER-POLOS-WANITA-i.53767978.8168857176?position=6"",""35500"",""kota bandung"",""1"",""8"",""5.0"",""8"",""0"",""1"",""1"",""0"",""0"",""0"",""5000"",""SWEATER OVERSIZE CEWE SWEATER MAUDY PASTEL SWEATER TALI KERUT SWEATER POLOS WANITA"",""SWEATER OVERSIZE CEWE SWEATER MAUDY PASTEL SWEATER TALI KERUT ✅ Terbuat dari katun yang tebal ringan, sehingga ketika dipakai akan terasa nyaman dan ringan ✅ Pada bagian bawah sweater terdapat tali kerut dan stopper yang berpungsi untuk menyesuaikan ukuran ✅ terdapat banyak pilihan warna dapat diserasikan dengan outfit yang dipakai ✅ Menggunakan metode jait double stich di bagian lengan, kerah, dan bawah sweater, sehingga lebih kuat ✅ Agar terlihat lebih spesial dan bisa juga dijadikan kado/seragam dengan custome bordir/sablon, untuk caranya silahkan cek d kategori produk custome bordir satuan/sablon satuan 👉 Rincian produk Ukuran: semua ukuran bisa nyaman dipakai karena over size fit to XL Material :Flace Made In : Indonesia ✅ Ready Stock Dan Pengiriman setiap hari ! ✅ Dropship/Reseller/Wholesale are welcome ! ✅Follow toko ini untuk info DISKON dan BARANG BARU ! 📸 FOTO HASIL JEPRET SENDIRI 100% REAL PIC sehingga barang yang dikirim sama seperti yang difoto • Garansi JAMINAN UANG KEMBALI/TUKAR DAN ONGKIR BOLAK-BALIK KAMI TANGGUNG APABILA : - YANG DITERIMA ADA CACAT PABRIK SOBEK & BOLONG -YANG DITERIMA TIDAK SESUAI Note : kami jualan bertanggung jawab kritik dan saran silahkan hubungi melalui fitur Chat :) Catatan kepada calon pembeli: ⚠ TIDAK MENERIMA SISIPAN WARNA VIA CHAT DAN CATATAN,CATATAN HANYA UNTUK WARNA CADANGAN ⚠ ORDER SESUAI VARIASI WARNA YANG DIINGINKAN. ⚠ Jangan Lupa Baca Peraturan Toko SWEATER OVERSIZE CEWE SWEATER MAUDY PASTEL SWEATER TALI KERUT SWEATER POLOS WANITA"""
"3,""https://shopee.co.id/-LIVEWEAR-SWEATER-POLOS-BASIC-PASTEL-COLOR-UNISEX-WANITA-DAN-PRIA-i.83866146.6458443944?position=7"",""64800"",""kota tangerang"",""391"",""761"",""4.8"",""9"",""1"",""1"",""1"",""1"",""1"",""0"",""18000"",""[LIVEWEAR] SWEATER POLOS BASIC PASTEL COLOR - UNISEX WANITA DAN PRIA"",""SWEATER POLOS BASIC UNISEX Bisa Digunakan wanita atau Pria LIST WARNA BASIC SWEATER : 1. Cream 2. Navy 3. Putih 4. Baby Blue / Biru Langit 5. Burgundi 6. Hitam 7. Lilac / Baby Purple / Ungu Muda 8. Hijau Botol 9. Mocca/Millo 10. Maroon 11. Baby Pink 12. Peach / Salem / Salmon 13. Misty 71 / Abu Muda 14. Terracotta / Kubus 15. Merah Bata 16. Misty 81 / Abu tua 17. Abu Misty 68 18. Kuning 19. Biru Benhur / Electric Blue 20. Hijau Mint 21. Hijau Olive 22. Hijau Army Premium Quality Sudah melalu pengecekan yang ketat !! SIZE CHART 👇🏻 Toleransi Ukuran +- 2/3cm Size M : L 52 x P 64 cm Size L : L 55 x P 66 cm Size XL : L 58 x P 68 cm Size XXL : L 62 x P 73 cm Size XXXL : L 63 x P 77 cm Mohon Mengukur kembali Ukuran , Karena Tidak bisa Retur Jika Salah Ukuran !! Jika Ada Reject / defect Bisa DiRetur (Hubungi Admin Shopee Kami ) Untuk Jadwal Pengiriman Kami Sudah Bekerja Sama dengan Pihak Expedisi maka akan ada jadwal Penjemputan dari Pihak Expedisi : SiCepat : 10.00 - 16.00 (1 - 2x Penjemputan) J&T & JNE : 17.00 - 18.00 (1x Penjemputan) Antaraja : 10.00 - 18.00 (1-2x Penjemputan) ShopeeExpress : 17.00 - 18.00 (1x Penjemputan) Maka Tidak Perlu Khawatir untuk Paket Pasti Dikirim Hari H Paling lambat H+1 """
"4,""https://shopee.co.id/Sweater-Basic-Polos-Soft-Colour-Pastel-Serries-i.221669521.5667747791?position=8"",""46000"",""kota jakarta utara"",""9"",""24"",""4.8"",""6"",""0"",""1"",""1"",""0"",""0"",""0"",""15000"",""Sweater Basic Polos Soft Colour Pastel Serries"",""- Product yang Kami Jual 100% Real Picture - Bahan adem dan nyaman - Ukuran All Size Fit To XL LD : 106 Panjang : 64"""
"5,""https://shopee.co.id/SWEATER-POLOS-BASIC-ALL-COLORS-PASTEL-UNSEX-WANITA-PRIA-i.305303525.7660489047?position=9"",""72500"",""kota tangerang"",""41"",""99"",""5.0"",""8"",""1"",""1"",""1"",""1"",""1"",""0"",""18000"",""SWEATER POLOS BASIC ALL COLORS PASTEL - UNSEX WANITA & PRIA"",""SWEATER BASIC POLOS *Basic Collection* - produk basic kita best seller banget karena ramah dikantong, banyak pilihan warna, dan bahannya tebal, cocok buat siapapun untuk kebutuhan jaket sehari-hari kamu nih # Keterangan Produk # UNISEX ( Bisa untuk Perempuan atau Laki-Laki) Bahan: Fleece (tebal - Lembut ), tangan dan bawah menggunakan karet - Available M, L, XL , XXL & XXXL - Size M : L 52 x 64 cm Size L : L 55 x 66 cm Size XL : L 58 x 68 cm Size XXL : L 60 x 73 cm Size XXXL : L 63 x 77 cm"""
"6,""https://shopee.co.id/-PREMIUM-CREWNECK-BASIC-SWEATER-POLOS-SOFT-BABY-BLUE-BIRU-PASTEL-M-XXXL-(UNISEX)-i.339621800.4763667056?position=11"",""67600"",""kota tangerang selatan"",""5"",""9"",""4.8"",""1"",""1"",""1"",""1"",""1"",""1"",""0"",""18000"",""[PREMIUM] CREWNECK BASIC SWEATER POLOS SOFT BABY BLUE / BIRU PASTEL M - XXXL (UNISEX)"",""DETAIL BAHAN / SPESIFIKASI PRODUK : 1. DAFTAR WARNA : BISA LIHAT GAMBAR DI ATAS ! 2. BAHAN DASAR : FLEECE 3. DETAIL JAHITAN : Full Stick ( LEHER , PINGGANG , LENGAN , PUNDAK ) 4. POLA : Dibentuk oleh orang berpengalaman yang sudah bekerja bertahun-tahun di perusahaan garment 99,99% nyaman digunakan. 5. NO BRAND ! COCOK UNTUK PARA SABLONERS / UNTUK DI JUAL KEMBALI - Bisa dipakai oleh PRIA & WANITA ( UNISEX ) - 100% PRODUK LOCAL ( BAHAN DASAR & PRODUKSI 100% DARI INDONESIA ) - Harga Terjangkau karena 100% bahan baku LANGSUNG DARI PABRIK + PRODUKSI SENDIRI !!! - Kualitas TERJAGA! - READY STOCK ( Tidak PO / Pre Order ) - GARANSI 100% ( Barang Cacat / Robek , Salah Kirim Ukuran ) Bisa ditukar apabila kesalahan dari PENJUAL & ONGKOS KIRIM kita yang tanggung FULL ! - Size Standar LOCAL ! - Size Chart : Panjang x Lebar ( dalam Cm ) M = 60 x 50 L = 65 x 55 XL = 70 x 60 XXL = 75 x 65 XXXL = 80 x 70 Lingkar Dada / LD = Lebar x 2 Toleransi Ukuran = 2-3cm CARA ORDER / HOW TO ORDER ? : - PILIH MODEL & WARNA SESUAI DENGAN YANG DIINGINKAN DI VARIASI PRODUK - BERI KETERANGAN DIKOLOM CATATAN UNTUK PENJUAL SAAT TRANSAKSI ( MODEL , WARNA , SIZE , QTY ) CONTOH : BASIC SWEATER PUTIH SIZE M , 1pcs KETENTUAN PENGIRIMAN : - MAKSIMAL ORDER JAM 18.00 WIB SENIN s/d JUMAT & SABTU JAM 15.00 WIB - LEWAT DARI BATAS WAKTU DIATAS AKAN DIKIRIM DI HARI SELANJUTNYA - MINGGU LIBUR"""
"7,""https://shopee.co.id/MAUDY-PASTEL-SWEATER-KERUT-BAWAH-POLOS-'-i.216095329.5777484038?position=12"",""36,060"",""kota bandung"",""3"",""5"",""5.0"",""6"",""1"",""1"",""0"",""0"",""0"",""0"",""18000"",""MAUDY PASTEL SWEATER KERUT BAWAH POLOS '"",""HOT INFO GIRLS ::: Di Syofi Store dengan Belanja 30 ribu aja sudah dapet FREE ONGKIR Loh. Girls, karena tim Admin akan siap koperatif u/ menerima keluhan kalian jika produk yang kalian terima cacat, salah kirim barang atau lainnya, maka kami hanya menerima review *4 dan *5, jika ada kesalahan maka kami akan refund atau mengirim balik barang dengan ongkir sesuai kesepakatan kedua belah pihak, jika 100% kesalahan ada pada kami maka ongkir 100% akan kami tanggung untuk retur dan kirim kembalinya. Jika kalian review *1 s.d *3, maka mohon maaf komplain kalian akan kami abaikan, insha Alloh kami siap kooperatif selama jam kerja senin-sabtu 09.00 - 16.00 (Hari Ahad dan hari besar Lainnyya kami libur untuk pelayanan chat ya). 📶 Det Produk ▶ Nama Produk : Maudy Pastel Sweater Kerut Bawah Polos ▶ Bahan : Fleece ▶ Ukuran : Fit To L ▶ Warna Tersedia : Babyblue, Cream, Black, Dusty, Mint, White ▶ Berat : 0.17 Allsize 90% Realpict dari segi bentuk model dan warna , gambar sebagai patokan / referensi karena resolusi kamera Happy Shopping! Terima Reseller , Dropshiper dan Pembelian Partai (banyak) Kepuasan pembeli merupakan suatu kebanggaan untuk kami  📶 INFO TOKO ☑ Order 24/7 >> OPEN 24 jam ( termasuk hari libur ) ☑ Chat Admin >> Senin s.d Sabtu 09.00-17.00 (fast respon) diluar jam kerja maaf slow respon ya ☑ Stok ready sesuai variasi ( bisa langsung di order ) ☑ Setelah transaksi berhasil , akan segera kami proses & kirim langsung ☑ Pengiriman di toko kami dalam 1 hari sebanyak 3x (pukul 12.00 siang , 17.00 sore dan 21.00 malam) 📶 Peraturan Retur Sesuai Prosedur : ☑ Barang reject/rusak, bukan karena gak suka atau gak muat, size sudah disampaikan di detail produk ☑ Salah barang/model/warna ☑ Kirimkan bukti foto barang yang salah warna atau rusak via chat shopee ☑ Kirimkan list kertas (yang nempel dipaket yang ada nama item barang ) ☑ Jadi mohon untuk TIDAK DI BUANG LIST KERTASNYA ☑ Kami akan menerima claim dengan PERKATAAN baik dan sopan ☑ Batas retur 3 hari setelah paket diterima. ☑ Barang di retur dengan status shopee selesai / tanpa pengajuan dana ☑ Kami akan ganti barang atau transfer uang barang returan setelah barang sampai 📶 Jika ada pertanyaan seandainya saya sudah checkout tiba tiba barang gak ada ,uangnya gimana ? ☑ Untuk uang barangnya kami selip di paket menggunakan amplop putih (UNTUK YANG TIDAK DROPSHIP) ☑ Untuk yang DROPSHIP kami transfer uang, setelah barang sampai dan statusnya (SELESAI), Membeli berarti MENYETUJUI syarat dan ketentuan diatas """
"8,""https://shopee.co.id/Sweater-Polos-Sweater-Wanita-dan-Pria-Sweater-Fleece-SIZE-M-i.321004238.11614456062?position=14"",""27500"",""kota jakarta barat"",""2"",""3"",""5.0"",""3"",""1"",""0"",""0"",""0"",""0"",""0"",""15000"",""Sweater Polos /Sweater Wanita dan Pria / Sweater Fleece SIZE M"",""SWEATER POLOS PRIA & WANITA SIZE M Bahan : Fleece cotton 100% REAL PICTURE SIZE M LD 54cm | P 60cm Warna Ready : - UNGU LILAC - PINK FANTA - PINK PASTEL"""
"9,""https://shopee.co.id/Sweater-Wanita-Maudy-Pastel-Switer-Wanita-Sweter-Wanita-Sweter-Polos-Wanita-i.368648029.9209734703?position=15"",""37000"",""kota bandung"",""3"",""15"",""5.0"",""6"",""1"",""1"",""0"",""0"",""0"",""0"",""18000"",""Sweater Wanita Maudy Pastel | Switer Wanita | Sweter Wanita | Sweter Polos Wanita"",""Bahan Fleece Tebal dan Nyaman ketika digunakan ukuran All size fit to L Tidak usah ragu belanja di toko ini kak, bahan dan kualitas dijamin baik^^ Warna produk sesuai dengan foto ya kak, jadi apa yg terlihat di pict itu yang akan kaka terima^^ Reseller dan Dropship aman^^ Silahkan cantumkan warna yang diinginkan dan warna cadangan pada saat checkout Jika warna yang dipesan tidak tersedia/kosong, maka kami akan konfirmasi terlebih dahulu^^ Happy shopping ka^^"""
"10,""https://shopee.co.id/BASIC-SWEATER-POLOS-Basic-natural-sweater-i.180874099.3322616438?position=16"",""39000"",""kota bandung"",""205"",""873"",""4.7"",""19"",""1"",""1"",""0"",""0"",""0"",""0"",""18000"",""BASIC SWEATER POLOS / Basic natural sweater"",""BARANG READY & REAL PICT 100% ~ ONE SIZE ~ BAHAN FLEECE ~ PENGIRIMAN TIAP HARI ~ CEPAT DALAM PENGIRIMAN"""
